ticker,year,name,price,shares,ffo,dividend,revenue,interest,ebitda,ebit,equity,casti,debt
4330,2021,Riyad REIT,9.85,171697101,127500000,-89282493,248496830,-27891192,136525124,105561369,1598624597,922829137,1360847492
4330,2020,Riyad REIT,8.50,171697101,69200000,-77263693,186020615,-20956479,90246875,65593076,1591356925,620836385,833907492
4330,2019,Riyad REIT,8.71,171697101,92900000,-89282494,181201243,-7144318,99724277,77744279,1623564872,497633243,685076029
4331,2021,Aljazira REIT,22.78,11800000,3330000,-3988400,5248646,0,3339000,2412704,82534130,585480,0
4331,2020,Aljazira REIT,22.84,11800000,-1250000,-3540000,6088281,0,3990000,3302438,82231123,707887,0
4331,2019,Aljazira REIT,12.48,11800000,3590000,-5900000,5253843,0,3674000,2720827,109667268,2399000,0
4332,2021,Jadwa REIT Alharamain,8.00,66000000,6690000,0,16833290,-6685518,14204730,2363693,539258158,26950275,252600522
4332,2020,Jadwa REIT Alharamain,7.47,66000000,-1720000,-13200000,17052562,-5778581,13047533,1123958,548413619,18355314,232010613
4332,2019,Jadwa REIT Alharamain,8.18,66000000,32560000,-35640000,52673428,-10428825,41457743,29402567,629658424,11425236,181422611
4333,2021,Taleem REIT,12.30,51000000,43240000,-26505687,50633548,-2190014,46576573,42739851,546646423,4511655,94300000
4333,2020,Taleem REIT,12.88,51000000,42540000,-32620419,48786213,-1195348,44773038,41592724,533708182,5633083,94318624
4333,2019,Taleem REIT,12.48,51000000,40680000,-32640000,45724145,0,41762270,39259454,530847090,9551619,0
4334,2021,Almaather REIT,8.96,61370000,38670000,-23934300,51759626,-2577808,40579623,26219121,533851202,51387387,100284951
4334,2020,Almaather REIT,8.90,61370000,25990000,-38049400,51337805,-2450850,27628018,13421790,549405253,35047631,90683080
4334,2019,Almaather REIT,8.77,61370000,40500000,-39276800,53574640,-922034,40796988,27783448,594819654,43635850,28057582
4335,2021,Musharaka REIT,9.92,88000000,47270000,-52329920,88784030,-5272969,57412327,40922457,858769600,63417153,547485451
4335,2020,Musharaka REIT,9.83,88000000,46620000,-61600000,93454860,-7568989,58377319,42606283,881700719,50388091,450590558
4335,2019,Musharaka REIT,9.49,88000000,49970000,-55440000,94648476,-8626648,61335283,46310519,907224375,12925844,337358711
4336,2021,Mulkia Gulf REIT,9.85,68108652,47270000,-33373239,76523904,-9361034,54717006,42496504,638850619,16835710,342009210
4336,2020,Mulkia Gulf REIT,9.05,68108652,46620000,-31021730,69452975,-14944759,49518786,37756207,641694929,270854096,601594668
4336,2019,Mulkia Gulf REIT,9.85,60000000,49970000,-40800000,59011179,-11694055,48921856,40564563,573878182,69685530,258038666
4337,2021,SICO Saudi REIT,8.57,57240000,9340000,-29764800,15178475,-3661908,13123000,4059929,502164162,15152916,150211551
4337,2020,SICO Saudi REIT,8.00,57240000,5310000,-20606400,7829315,0,5323326,-1595492,501181695,1839189,0
4337,2019,SICO Saudi REIT,8.11,57240000,31050000,-29764800,38943344,0,31354839,24436021,576826393,19538386,0
4338,2021,Alahli REIT,11.40,137500000,101370000,-92813000,183581000,-14057000,116984000,92359000,1303077000,52207000,558728000
4338,2020,Alahli REIT,8.92,137500000,63620000,-61875000,141671000,-12673000,77821000,54905000,1320470000,6478000,514995000
4338,2019,Alahli REIT,9.5,137500000,78760000,-89375000,151696000,-4467000,84294000,66175000,1367621000,52439000,253050000
4339,2021,Derayah REIT,12.70,107507035,69140000,-79985234,130369946,-21791879,91095918,66791525,910107433,39788117,747982834
4339,2020,Derayah REIT,11.20,107507035,77110000,-71808415,121499826,-23622769,100848212,75111380,944532914,45773599,747982834
4339,2019,Derayah REIT,10.5,107507035,80910000,-80415261,121738730,-27595665,109056182,84340160,1001419491,34801270,579982834
4340,2021,Alrajhi REIT,10.92,161856857,80120000,-75792889,130283660,-21029026,96515300,67919411,1245863350,66010112,791254599
4340,2020,Alrajhi REIT,9.70,161856857,105060000,-66371658,168855514,-26524743,131580073,102366094,1511581047,64000997,645847999
4340,2019,Alrajhi REIT,9.66,161856857,72740000,-77051334,115934466,-19374717,92118148,74183441,1578439127,125000,536753536
4342,2021,Jadwa REIT,14.98,186509785,106910000,-123240000,151283096,-16772483,129763423,90334082,1851058639,62169492,603122500
4342,2020,Jadwa REIT,14.00,158000000,112290000,-115340000,217070442,-5614979,198347352,159707690,1576451066,32589126,573122500
4342,2019,Jadwa REIT,11.20,158000000,113520000,-113760000,133733888,-1905456,115424379,78554949,1537698355,29412753,127772500
4344,2021,SEDCO Capital REIT,12.00,117500000,42130000,-35550000,72910276,-12480293,54616329,38421691,1039710604,62905856,619653131
4344,2020,SEDCO Capital REIT,9.35,60000000,31440000,-35696816,68108150,-18495689,49937886,33851454,537948379,20585698,489507441
4344,2019,SEDCO Capital REIT,9.96,60000000,33940000,-38850000,78053400,-26963654,62150166,46027758,561523849,34534020,484559255
4345,2021,Alinma Retail REIT,7.15,118000000,6180000,-404190,59045285,-326373,6257716,-24389633,932864494,29348717,7664911
4345,2020,Alinma Retail REIT,7.41,118000000,21570000,-41266026,54166502,-341217,21871527,-10200140,947722311,21333060,7988538
4345,2019,Alinma Retail REIT,8.22,118000000,51580000,-31860000,91684951,-352761,39997729,3092377,1149508173,333756,8297321
4346,2021,MEFIC REIT,7.22,73276800,11760000,-14636508,56067679,-16842480,-4853509,-11067224,521932190,1229649,352422486
4346,2020,MEFIC REIT,7.21,73276800,2010000,-18319200,65874499,-16426164,5150925,-1062790,669689865,5305593,341222486
4346,2019,MEFIC REIT,7.85,73276800,63510000,-27567599,95753865,-17095974,36918819,32112432,754253329,2288484,302322486
4347,2021,Bonyan REIT,9.76,162881100,112340000,-104243904,133689497,-8459795,120973342,76323834,1390852977,106975449,381872420
4347,2020,Bonyan REIT,8.88,162881100,83490000,-64995981,99018691,-3488914,88026311,43006823,1429694959,36095533,190426655
4347,2019,Bonyan REIT,9.84,162881100,110310000,-119688130,123077644,0,110900703,64446268,1449286930,33555916,186160000
4348,2021,Alkhabeer REIT,8.67,141008848,47250000,-54019965,117778571,-30031243,67622060,37454533,1096825756,50968681,762301499
4348,2020,Alkhabeer REIT,9.39,102971013,26490000,-37140106,88230559,-19756439,52132431,34587223,856154223,44108858,763154747
4348,2019,Alkhabeer REIT,10.90,66442386,23820000,-26127192,66628647,-14510671,28244885,17180113,571745229,19268556,364824766
