ticker,year,name,shares,ffo,dividend,revenue,interest,ebitda,ebit,asset,equity,casti,debt
4330,2022-06-30,Riyad REIT,171697101,76570000,-80697634,132516215,-12801821,68882893,53401014,3052338574,1579013793,843168740,1360847089
4330,2021-12-31,Riyad REIT,171697101,81000000,-46358218,139322015,-18758480,80802793,63262254,3072591413,1598624597,922829137,1360847492
4330,2021-06-30,Riyad REIT,171697101,46590000,-42924275,109174815,-9132712,55747331,42324115,2548602355,1581599051,609057842,866907492
4330,2020-12-31,Riyad REIT,171697101,34030000,-34339418,97620136,-13125623,47275587,33862454,2521145112,1591356925,620836385,833907492
4330,2020-06-30,Riyad REIT,171697101,35140000,-42924275,88400479,-7830856,42971288,31730622,2384252577,1604540363,459943333,689310768
4330,2019-12-31,Riyad REIT,171697101,51190000,-41207306,90759331,-7144318,58658166,44248860,2385770176,1623564872,497633243,685076029
4330,2019-06-30,Riyad REIT,171697101,41220000,-48075188,90441912,0,41066111,33495419,1991730469,1627531823,26012501,295441948
4330,2018-12-31,Riyad REIT,171697101,47090000,-29188507,115146341,-144661,47279731,39552244,1798690332,1641962795,31497648,88339892
4330,2018-06-30,Riyad REIT,171697101,29340000,-15000000,33967310,0,29391661,24090438,1725164224,1631011013,6678058,44000000
4331,2022-06-30,Aljazira REIT,11800000,2160000,0,3119485,0,2219604,1760234,86849873,85214907,1516476,0
4331,2021-12-31,Aljazira REIT,11800000,1470000,-3988400,2718322,0,1450000,983338,85223791,82534130,585480,0
4331,2021-06-30,Aljazira REIT,11800000,1860000,0,2530324,0,1889000,1429366,87339498,84834057,2768673,0
4331,2020-12-31,Aljazira REIT,11800000,770000,-3540000,2978916,0,779340,553334,84435495,82231123,707887,0
4331,2020-06-30,Aljazira REIT,11800000,-2030000,0,3109365,0,-2016000,-2477688,105406927,104382102,1654241,0
4331,2019-12-31,Aljazira REIT,11800000,1910000,-5900000,2777023,0,1967000,1477717,111853120,109667268,2399057,0
4331,2019-06-30,Aljazira REIT,11800000,1680000,0,2476820,0,1706000,1243110,115047703,107070143,7074176,0
4331,2018-12-31,Aljazira REIT,11800000,3320000,-5900000,4845377,0,3742000,3279239,118166163,115803683,6691995,0
4331,2018-06-30,Aljazira REIT,11800000,4210000,0,4799981,0,3871000,3408004,127319835,124742933,7594972,0
4332,2022-06-30,Jadwa REIT Alharamain,66000000,-4490000,0,2439472,-4729784,-47491380,-53363238,743923054,485894920,35885289,252773678
4332,2021-12-31,Jadwa REIT Alharamain,66000000,3310000,0,16121571,-2666980,4673204,-1295976,794148158,539296406,26950275,252600522
4332,2021-06-30,Jadwa REIT Alharamain,66000000,3380000,0,-711719,-4018538,-1987628,-7859485,783369736,539296406,19398535,232303143
4332,2020-12-31,Jadwa REIT Alharamain,66000000,-90000,0,8984790,-2119397,7487502,1502172,789357974,548413619,18355314,232010613
4332,2020-06-30,Jadwa REIT Alharamain,66000000,-1630000,-13200000,8067772,-3659184,5560031,-378214,738773384,548406014,16335683,181715006
4332,2019-12-31,Jadwa REIT Alharamain,66000000,17570000,-17160000,25620119,-4500753,20434033,14356904,817512064,629658424,11425236,181422611
4332,2019-06-30,Jadwa REIT Alharamain,66000000,14990000,-18480000,27053309,-5928072,21023710,15045663,828552735,636962273,14650761,181127151
4332,2018-12-31,Jadwa REIT Alharamain,66000000,17830000,-18480000,27434178,-4439180,22349808,16272678,832905778,646324682,7818401,180836508
4332,2018-06-30,Jadwa REIT Alharamain,66000000,17730000,-17160000,26651798,-3783074,21576419,15601922,836445023,653224001,13489947,177199568
